2025-03-24 16:29:07 | CPU: 17.5% | Memory: 80.4%
2025-03-24 16:29:13 | CPU: 34.5% | Memory: 81.2%
2025-03-24 16:29:19 | CPU: 30.9% | Memory: 81.5%
2025-03-24 16:29:25 | CPU: 45.9% | Memory: 83.4%
2025-03-24 16:29:31 | CPU: 43.1% | Memory: 83.8%
2025-03-24 16:29:37 | CPU: 41.6% | Memory: 84.0%
2025-03-24 16:29:43 | CPU: 38.6% | Memory: 84.1%
2025-03-24 16:29:49 | CPU: 49.6% | Memory: 83.3%
2025-03-24 16:29:55 | CPU: 47.4% | Memory: 80.9%
2025-03-24 16:30:01 | CPU: 23.6% | Memory: 82.6%
2025-03-24 16:30:07 | CPU: 53.3% | Memory: 83.1%
2025-03-24 16:30:13 | CPU: 44.8% | Memory: 82.7%
2025-03-24 16:30:19 | CPU: 36.8% | Memory: 83.1%
2025-03-24 16:30:25 | CPU: 49.3% | Memory: 83.4%
2025-03-24 16:30:31 | CPU: 38.8% | Memory: 82.8%
2025-03-24 16:30:37 | CPU: 45.1% | Memory: 83.9%
2025-03-24 16:30:43 | CPU: 18.5% | Memory: 83.0%
2025-03-24 16:30:49 | CPU: 11.3% | Memory: 82.9%
2025-03-24 16:30:55 | CPU: 17.7% | Memory: 81.9%
2025-03-24 16:31:01 | CPU: 23.2% | Memory: 84.0%
2025-03-24 16:31:07 | CPU: 11.1% | Memory: 83.1%
2025-03-24 16:31:13 | CPU: 19.1% | Memory: 83.0%
2025-03-24 16:31:19 | CPU: 28.7% | Memory: 83.4%
2025-03-24 16:31:25 | CPU: 41.6% | Memory: 81.9%
2025-03-24 16:31:31 | CPU: 68.6% | Memory: 83.7%
2025-03-24 16:31:37 | CPU: 51.9% | Memory: 82.6%
2025-03-24 16:31:43 | CPU: 17.4% | Memory: 80.5%
2025-03-24 16:31:49 | CPU: 17.4% | Memory: 81.2%
2025-03-24 16:31:55 | CPU: 21.7% | Memory: 80.6%
2025-03-24 16:32:01 | CPU: 66.9% | Memory: 80.8%
2025-03-24 16:32:07 | CPU: 17.6% | Memory: 81.0%
2025-03-24 16:32:13 | CPU: 18.3% | Memory: 82.4%
2025-03-24 16:32:19 | CPU: 31.4% | Memory: 83.6%
2025-03-24 16:32:25 | CPU: 34.2% | Memory: 83.7%
2025-03-24 16:32:34 | CPU: 39.7% | Memory: 82.2%
2025-03-24 16:32:39 | CPU: 17.5% | Memory: 82.8%
2025-03-24 16:32:44 | CPU: 60.8% | Memory: 84.0%
2025-03-24 16:32:49 | CPU: 22.4% | Memory: 81.0%
2025-03-24 16:32:54 | CPU: 31.7% | Memory: 78.9%
2025-03-24 16:32:59 | CPU: 44.4% | Memory: 80.7%
2025-03-24 16:33:04 | CPU: 38.6% | Memory: 80.6%
2025-03-24 16:33:09 | CPU: 32.9% | Memory: 79.4%
2025-03-24 16:33:14 | CPU: 22.8% | Memory: 78.2%
2025-03-24 16:33:19 | CPU: 14.8% | Memory: 80.5%
2025-03-24 16:33:24 | CPU: 13.6% | Memory: 80.3%
2025-03-24 16:33:29 | CPU: 31.7% | Memory: 82.2%
2025-03-24 16:33:34 | CPU: 16.8% | Memory: 82.4%
2025-03-24 16:33:39 | CPU: 15.9% | Memory: 82.8%
2025-03-24 16:33:44 | CPU: 28.9% | Memory: 82.7%
2025-03-24 16:33:49 | CPU: 42.4% | Memory: 84.9%
2025-03-24 16:33:54 | CPU: 13.0% | Memory: 82.3%
2025-03-24 16:33:59 | CPU: 26.1% | Memory: 82.6%
2025-03-24 16:34:05 | CPU: 23.6% | Memory: 84.6%
2025-03-24 16:34:10 | CPU: 10.8% | Memory: 82.3%
2025-03-24 16:34:15 | CPU: 25.9% | Memory: 82.5%
2025-03-24 16:34:20 | CPU: 16.3% | Memory: 81.6%
2025-03-24 16:34:25 | CPU: 49.2% | Memory: 82.7%
2025-03-24 16:34:30 | CPU: 35.5% | Memory: 81.7%
2025-03-24 16:34:35 | CPU: 33.0% | Memory: 82.9%
2025-03-24 16:34:40 | CPU: 27.5% | Memory: 83.4%
2025-03-24 16:34:45 | CPU: 49.2% | Memory: 83.4%
2025-03-24 16:34:50 | CPU: 76.7% | Memory: 82.9%
2025-03-24 16:34:55 | CPU: 34.8% | Memory: 82.6%
2025-03-24 16:35:00 | CPU: 25.2% | Memory: 82.7%
2025-03-24 16:35:05 | CPU: 45.5% | Memory: 84.2%
2025-03-24 16:35:10 | CPU: 9.9% | Memory: 84.0%
